FID,osm_id,layer,highway,tunnel,oneway,bicycle,foot,name,horse,service,access,junction,bridge,covered,constructi,proposed,lanes,name_en,name_zh,crossing,footway,name_zh_pi,sidewalk,conveying,handrail,incline,level,motor_vehi,sidewalk_r,maxheight,crossing_m,ramp_bicyc,oneway_bic,frequency,bus,lit,x_S,x_E,y_S,y_E
18,513786153.000000000000000, ,unclassified, , , , , , , , , , , , , , , , , , , ,both, , , , , , , , , , , , , ,113.316948400000000,113.316905400000000,23.121754500000002,23.119490899999999
19,932534386.000000000000000, ,service, ,yes, , , , , , , , , , , , , , , , , ,right, , , , , , , , , , , , , ,113.316905400000000,113.318257300000000,23.119490899999999,23.119521500000001
20,545592429.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317573499999990,113.317574500000010,23.119505100000001,23.119797899999998
21,545592430.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317408400000010,113.317408400000010,23.119797299999998,23.119797299999998
22,932534387.000000000000000, ,service, , , , , , ,parking_aisle, , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318191200000000,113.318191200000000,23.119463700000001,23.119405400000002
23,545592431.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.317869800000000,113.318515300000000,23.119897200000000,23.119970400000000
24,737631342.000000000000000, ,secondary, ,yes, , ,珠江西路, , , , , , , , , ,Zhujiang West Road,珠江西路, , ,zhū jiāng xī lù,right, , , , , , , , , , , , , ,113.318077900000010,113.316905400000000,23.121370899999999,23.119490899999999
25,444149841.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318077900000010,113.318639200000010,23.121370899999999,23.119958400000002
26,449070493.000000000000000,-1,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318992900000000,113.319210600000010,23.116254200000000,23.116260199999999
27,444420600.000000000000000,-1,secondary,yes,yes, , , , , ,no, , , , , ,2, , , , , , , , , , ,yes, , , , , , , , ,113.318999400000000,113.318004300000000,23.116444500000000,23.116471000000001
28,449070494.000000000000000,-1,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318999400000000,113.318992900000000,23.116444500000000,23.116254200000000
29,102596674.000000000000000,-2,secondary,yes,yes,no,no,新中轴隧道,no, , , , , , , ,2,Xinzhongzhou Tunnel,新中轴隧道, , , , , , , , , , , , , , , , , ,113.322744000000000,113.315294700000000,23.116177799999999,23.116675300000001
30,444419547.000000000000000,-1,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319199000000000,113.318999400000000,23.116445899999999,23.116444500000000
31,759851918.000000000000000,-1,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319210600000010,113.319199000000000,23.116260199999999,23.116445899999999
32,248284666.000000000000000,-1,secondary,yes,yes,no,no, ,no, , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,113.320165200000010,113.319199000000000,23.116332900000000,23.116445899999999
33,624728716.000000000000000, ,secondary, ,yes,no,no, ,no, , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,113.321972600000000,113.320165200000010,23.116232900000000,23.116332900000000
34,603486757.000000000000000,-2,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319078000000000,113.319024400000000,23.118880399999998,23.116463599999999
35,603486754.000000000000000,-3,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319160100000000,113.319248500000000,23.116469899999998,23.118888500000001
36,545592427.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.319961100000000,113.322202899999990,23.116579300000001,23.118114400000000
37,719563809.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319930700000000,113.320864800000000,23.117385800000001,23.117437100000000
38,458696110.000000000000000, ,secondary, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.322093200000000,113.322720700000000,23.116302999999998,23.116002900000002
39,624728715.000000000000000, ,secondary, ,yes, , ,冼村路, , , , , , , , , ,Xiancun Road,冼村路, , ,xiǎn cūn lù, , , , , , , , , , , , , , ,113.322093200000000,113.321972600000000,23.116302999999998,23.116232900000000
40,545592428.000000000000000, ,footway, , , , , , , , , , , , , , , , , ,sidewalk, , , , , , , , , , , , , , , ,113.322136300000000,113.322218000000010,23.116527600000001,23.116471399999998
41,442014417.000000000000000, ,secondary, ,yes, , ,冼村路, , , , , , , , , ,Xiancun Road,冼村路, , ,xiǎn cūn lù, , , , , , , , , , , , , , ,113.322355500000000,113.322093200000000,23.116706799999999,23.116302999999998
42,684901405.000000000000000,-1,service,yes, ,no,no, ,no, , , , , , , , , , , , , , , , , , , , ,2.2, , , , , , ,113.317413300000000,113.321087300000000,23.118487600000002,23.118193200000000
43,617780115.000000000000000,-1,footway,yes, , , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , ,113.319171000000000,113.319158900000010,23.118992100000000,23.118497099999999
44,617780114.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , ,-1, , , , , , , , , ,113.319172600000000,113.319172600000000,23.119204700000001,23.119204700000001
45,603486756.000000000000000,-1,secondary,yes, , , , , , , ,roundabout, , , , , , , , , , , , , , , , , , , , , , , , ,113.319321500000000,113.319321500000000,23.118931499999999,23.118931499999999
46,603486755.000000000000000,-1,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318789300000010,113.318899800000000,23.119525599999999,23.119126399999999
47,1062033385.000000000000000,1,steps, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , ,113.319136800000000,113.319101399999990,23.119205500000000,23.119307899999999
48,247429032.000000000000000, ,service, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321705700000000,113.321705700000000,23.118155900000001,23.118155900000001
49,1155966371.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318401200000000,113.318893700000000,23.119547099999998,23.119412799999999
50,554611942.000000000000000, ,steps, , , , , , , , , , , , , , , , , , , , , , ,down, , , , , , , , , , ,113.319146700000000,113.319149300000010,23.119542299999999,23.119701599999999
51,444149842.000000000000000,-1,secondary_link,yes,yes,no,no, ,no, , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318639200000010,113.319653800000000,23.119958400000002,23.119706999999998
52,603486758.000000000000000,-1,secondary,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319398100000000,113.319601600000000,23.119150200000000,23.119571199999999
53,1155966372.000000000000000, ,footway, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319417800000000,113.319789500000000,23.119406000000001,23.119433699999998
54,1140707305.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319961100000000,113.319970100000010,23.119518700000000,23.120452499999999
55,27318117.000000000000000, ,secondary_link, ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319653800000000,113.320037799999990,23.119706999999998,23.120601799999999
56,1140707306.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.319881900000000,113.320149000000000,23.120049000000002,23.119963100000000
57,188246593.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320037799999990,113.321407400000000,23.120601799999999,23.119477000000000
58,496447343.000000000000000, ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321087300000000,113.321705700000000,23.118193200000000,23.118155900000001
